TTTTTT	
-322.298172078	
-322.200415996	
-321.999459476	
-321.617794435	
-321.076316317	
-320.403735089	
-319.607127484	
-318.681061528	
-317.653854538	
-316.619415555	
-315.694328663	
-314.951211114	
-314.399770748	
-314.009064132	
-313.736310584	
-313.543333449	
-313.401589022	
-313.291758213	
-313.201659616	
-313.124061995	
-313.05491171	
-312.992061447	
-312.934431039	
-312.88149059	
-312.83296275	
-312.788663623	
-312.748425929	
-312.712067857	
-312.679385388	
-312.650155332	
-312.624142247	
-312.60110583	
-312.580807323	
-312.563014461	
-312.547504978	
-312.534068878	
-312.522509728	
-312.51264522	
-312.504307211	
-312.497341389	
-312.491606712	
-312.486974691	
-312.483328589	
-312.48056259	
-312.478580953	
-312.477297192	
-312.476633286	
-312.476518928	
-312.476890821	
-312.477692025	
-312.478871353	
-312.480382815	
-312.482185111	
-312.48424117	
-312.486517727	
-312.488984943	
-312.491616065	
-312.494387111	
-312.497276596	
-312.500265277	
-312.503335928	
-312.506473143	
-312.509663146	
-312.512893635	
-312.516153633	
-312.519433356	
-312.522724098	
-312.526018125	
-312.529308577	
-312.532589388	
-312.535855206	
-312.539101322	
-312.542323613	
-312.545518482	
-312.548682808	
-312.551813901	
-312.554909459	
-312.557967532	
-312.560986485	
-312.563964968	
-312.566901892	
-312.569796395	
-312.572647824	
-312.575455714	
-312.578219765	
-312.580939826	
-312.583615879	
-312.586248024	
-312.588836463	
-312.591381493	
-312.593883487	
-312.596342891	
-312.598760211	
-312.601136004	
-312.603470872	
-312.605765452	
-312.608020415	
-312.610236455	
-312.612414285	
-312.614554634	
-312.616658241	
-312.618725853	
-312.620758219	
-312.62275609	
-312.624720214	
-312.626651334	
-312.628550188	
-312.630417505	
-312.632254004	
-312.634060394	
-312.635837369	
-312.637585612	
-312.639305793	
-312.640998565	
-312.642664567	
-312.644304423	
-312.645918741	
-312.647508112	
-312.649073114	
-312.650614306	
-312.652132232	
-312.653627423	
-312.65510039	
-312.656551631	
-312.657981631	
-312.659390856	
-312.660779761	
-312.662148784	
-312.663498353	
-312.66482888	
-312.666140763	
-312.667434391	
-312.668710137	
-312.669968365	
-312.671209426	
-312.672433661	
-312.673641399	
-312.67483296	
-312.676008654	
-312.677168781	
-312.678313632	
-312.679443489	
-312.680558626	
-312.681659308	
-312.682745793	
-312.683818332	
-312.684877167	
-312.685922535	
-312.686954664	
-312.68797378	
-312.688980097	
-312.689973828	
-312.690955178	
-312.691924347	
-312.692881531	
-312.693826918	
-312.694760696	
-312.695683043	
-312.696594137	
-312.69749415	
-312.698383249	
-312.699261598	
-312.700129359	
-312.700986687	
-312.701833737	
-312.702670657	
-312.703497594	
-312.704314693	
-312.705122093	
-312.705919932	
-312.706708346	
-312.707487466	
-312.708257422	
-312.70901834	
-312.709770347	
-312.710513563	
-312.711248109	
-312.711974102	
-312.712691659	
-312.713400892	
-312.714101913	
-312.714794832	
-312.715479756	
-312.716156791	
-312.716826041	
-312.717487608	
-312.718141592	
-312.718788093	
-312.719427207	
-312.72005903	
-312.720683656	
-312.721301177	
-312.721911685	
-312.722515269	
-312.723112017	
-312.723702016	
-312.724285352	
-312.724862108	
-312.725432367	
-312.725996211	
-312.726553721	
-312.727104975	
-312.72765005	
-312.728189025	
-312.728721975	
-312.729248973	
-312.729770094	
-312.730285409	
-312.730794991	
-312.731298908	
-312.731797231	
-312.732290027	
-312.732777364	
-312.733259308	
-312.733735925	
-312.734207277	
-312.73467343	
-312.735134446	
-312.735590386	
-312.73604131	
-312.73648728	
-312.736928354	
-312.737364591	
-312.737796047	
-312.73822278	
-312.738644845	
-312.739062298	
-312.739475193	
-312.739883584	
-312.740287523	
-312.740687064	
-312.741082256	
-312.741473151	
-312.7418598	
-312.742242251	
-312.742620553	
-312.742994755	
-312.743364904	
-312.743731046	
-312.744093229	
-312.744451497	
-312.744805895	
-312.745156469	
-312.745503262	
-312.745846317	
-312.746185676	
-312.746521383	
-312.746853478	
-312.747182003	
-312.747506998	
-312.747828504	
-312.748146559	
-312.748461203	
-312.748772474	
-312.74908041	
-312.749385049	
-312.749686428	
-312.749984584	
